# ============================================================================
# GPLOT Model Info Table (Python format)
#
# Column 1: Model ID (ATCF TECH code)
# Column 2: Display label (shown in plot legends)
# Column 3: matplotlib marker string
#           ('o','s','^','v','<','>','*','D','d','p','h','8','P','X','+','x','.')
# Column 4: matplotlib color value. May be any of:
#             - A CSS4/X11 named color (e.g. 'blue', 'darkgoldenrod')
#             - An xkcd color with the 'xkcd:' prefix (e.g. 'xkcd:deep pink')
#             - A hex value (e.g. '#8B0A50')
#             - A grayscale float string in [0,1] (e.g. '0.25')
# Column 5: Long name (optional)
#
# Fields are separated by commas.  Lines starting with '#' are comments.
# This file supersedes ModelInfo.dat (which uses NCL marker indices and
# NCL-only X11 color names).  Python modules prefer this file when present.
# ============================================================================

# OPERATIONAL MODELS #
EE49,                 EE49: EPS(49),  .,                           0.49,   EC Ensemble Prediction System (49)
EE50,                 EE50: EPS(50),  .,                           0.50,   EC Ensemble Prediction System (50)


# HWRF VERSIONS #
H211,         H211: 2011 Oper. HWRF,  *,                        magenta,   2011 Oper. HWRF
H11I,            H11I: Interp. H211,  *,                        magenta,   2011 Oper. HWRF (Early)
H212,         H212: 2012 Oper. HWRF,  .,                    deepskyblue,   2012 Oper. HWRF
H12I,            H12I: Interp. H212,  .,                    deepskyblue,   2012 Oper. HWRF (Early)
H213,         H213: 2013 Oper. HWRF,  x,                         orange,   2013 Oper. HWRF
H13I,            H13I: Interp. H213,  x,                         orange,   2013 Oper. HWRF (Early)
H214,         H214: 2014 Oper. HWRF,  s,                           gold,   2014 Oper. HWRF
H14I,            H14I: Interp. H214,  s,                           gold,   2014 Oper. HWRF (Early)
H215,         H215: 2015 Oper. HWRF,  D,                          green,   2015 Oper. HWRF
H15I,            H15I: Interp. H215,  D,                          green,   2015 Oper. HWRF (Early)
H216,         H216: 2016 Oper. HWRF,  ^,                            red,   2016 Oper. HWRF
H16I,            H16I: Interp. H216,  ^,                            red,   2016 Oper. HWRF (Early)
H217,         H217: 2017 Oper. HWRF,  v,                         purple,   2017 Oper. HWRF
H17I,            H17I: Interp. H217,  v,                         purple,   2017 Oper. HWRF (Early)
H218,         H218: 2018 Oper. HWRF,  <,                      darkgreen,   2018 Oper. HWRF
H18I,            H18I: Interp. H218,  <,                      darkgreen,   2018 Oper. HWRF (Early)
H219,         H219: 2019 Oper. HWRF,  X,                           blue,   2019 Oper. HWRF
H19I,            H19I: Interp. H219,  X,                           blue,   2019 Oper. HWRF (Early)
H1113I,        H1113I: Interp H211-13,  *,                      magenta,   2011-2013 Oper. HWRF (Early)
H1416I,        H1416I: Interp H214-16,  D,                        green,   2014-2016 Oper. HWRF (Early)
H1719I,        H1719I: Interp H217-19,  X,                         blue,   2017-2019 Oper. HWRF (Early)
180M,        180M: 3-h Run Avg HWRF,  ^,                         purple,   3-hour Running Average HWRF
360M,        360M: 6-h Run Avg HWRF,  D,                            red,   6-hour Running Average HWRF
540M,        540M: 9-h Run Avg HWRF,  <,                          green,   9-hour Running Average HWRF


# BASIN-SCALE HWRF #
HB20,         HB20: 2020 HWRF-Basin,  ^,                          brown,   2020 Basin-Scale HWRF
HB0I,            HB0I: Interp. HB20,  ^,                          brown,   2020 Basin-Scale HWRF (Early)
B220,       B220: 2020 HWRF-Basin-P,  x,                           blue,   2020 Basin-Scale HWRF (Parallel)
B20S,            B20S: HB20 1-Storm,  x,                           blue,   2020 Basin-Scale HWRF (1-Storm)
B20I,            B20I: Interp. HB20,  ^,                          brown,   2020 Basin-Scale HWRF (Early)
